name,core,location_x,location_y,sampling,barcode,Upper_Depth,Lower_Depth,EC_dSm,pH_CaCl2,pH_water,TN,TC,MC,CEC_NH4Ac_cmol.kg,Ca_NH4Ac_cmol.kg,K_NH4Ac_cmol.kg,Mg_NH4Ac_cmol.kg,Na_NH4Ac_cmol.kg
2_NSC01_5_10,1,148.687232,-34.47268092,2023,52,5,10,0.02,6.1,6.8,0.0799,1.205,,,,,,
2_NSC03_0_5,3,148.6845149,-34.47345778,2023,45,0,5,0.02,6,7.1,0.1351,1.823,,,,,,
2_NSC03_5_10,3,148.6845149,-34.47345778,2023,85,5,10,0.01,5,7.5,0.0673,0.774,,,,,,
2_NSC04_10_15,4,148.6846819,-34.47364483,2023,35,10,15,0.01,5.8,7.4,0.0647,0.886,,,,,,
2_NSC04_5_10,4,148.6846819,-34.47364483,2023,67,5,10,0.01,5.3,7.2,0.0495,0.664,,,,,,
2_NSC06_0_5,6,148.6850792,-34.47336885,2023,81,0,5,0.02,5.7,6.5,0.1282,1.897,,,,,,
2_NSC07_10_15,7,148.6867469,-34.47292205,2023,48,10,15,0.01,6,6.9,0.0596,0.736,,,,,,
2_NSC07_15_20,7,148.6867469,-34.47292205,2023,65,15,20,0.01,6,6.9,0.0262,0.362,,,,,,
2_NSC08_0_5,8,148.6863845,-34.47276475,2023,68,0,5,0.02,5.8,6.5,0.1273,1.814,,,,,,
2_NSC08_15_20,8,148.6863845,-34.47276475,2023,76,15,20,0,5.9,7.1,0.0214,0.277,,,,,,
2_NSC09_5_10,9,148.6873071,-34.47262578,2023,40,5,10,0.01,5.9,6.8,0.0724,0.851,,,,,,
2_NSC10_10_15,10,148.6848815,-34.47328141,2023,83,10,15,0.02,5.9,6.6,0.0574,0.749,,,,,,
2_NSC15_10_15,15,148.6855308,-34.4730831,2023,91,10,15,0.01,6,7,0.0338,0.472,,,,,,
2_NSC16_0_5,16,148.6856973,-34.47378412,2023,73,0,5,0.03,5.9,6.8,0.096,2.39,,,,,,
2_NSC17_0_5,17,148.6876939,-34.47290898,2023,61,0,5,0.03,5.7,6.6,0.0888,1.364,,,,,,
2_NSC17_10_15,17,148.6876939,-34.47290898,2023,55,10,15,0.02,5.7,6.6,0.0998,1.477,,,,,,
2_NSC17_5_10,17,148.6876939,-34.47290898,2023,88,5,10,0.01,5.6,6.7,0.0506,0.678,,,,,,
2_NSC18_15_20,18,148.6855964,-34.47364124,2023,36,15,20,0.01,5.6,6.7,0.0245,0.309,,,,,,
2_NSC20_15_20,20,148.6840205,-34.4743212,2023,89,15,20,0.01,5.6,6.6,0.0188,0.249,,,,,,
2_NSC21_10_15,21,148.6872984,-34.47327511,2023,92,10,15,0.01,5.6,6.6,0.058,0.794,,,,,,
2_NSC21_15_20,21,148.6872984,-34.47327511,2023,59,15,20,0.01,5.5,6.6,0.0628,0.79,,,,,,
2_NSC21_5_10,21,148.6872984,-34.47327511,2023,74,5,10,0,5.6,6.6,0.0189,0.205,,,,,,
2_NSC22_0_5,22,148.6852717,-34.47373589,2023,43,0,5,0.02,5.3,6.4,0.084,1.127,,,,,,
2_NSC23_5_10,23,148.6847989,-34.47404898,2023,78,5,10,0.02,6,6.5,0.0714,0.931,,,,,,
2_NSC24_0_5,24,148.6857982,-34.47392699,2023,75,0,5,0.01,5.1,6.4,0.0956,1.403,,,,,,
2_NSC24_5_10,24,148.6857982,-34.47392699,2023,70,5,10,0.01,4.9,6.6,0.0427,0.743,,,,,,
2_NSC25_5_10,25,148.6863453,-34.4735227,2023,80,5,10,0.02,5.7,7.9,0.086,1.192,,,,,,
2_NSC26_5_10,26,148.6865893,-34.47320375,2023,50,5,10,0.01,5.3,6.4,0.0555,0.792,,,,,,
2_NSC27_0_5,27,148.6861251,-34.47339951,2023,54,0,5,0.01,5,6.2,0.0849,1.154,,,,,,
2_NSC28_5_10,28,148.6838536,-34.47468417,2023,38,5,10,0.01,5.6,6.5,0.0597,0.772,,,,,,
2_NSC30_0_5,30,148.6840903,-34.47454565,2023,58,0,5,0.01,5.2,6.7,0.0682,0.907,,,,,,
2_NSC33_0_5,33,148.6881122,-34.47313763,2023,69,0,5,0.02,5.5,6.8,0.107,1.443,,,,,,
2_NSC33_5_10,33,148.6881122,-34.47313763,2023,49,5,10,0.02,5.7,7.1,0.0687,0.904,,,,,,
2_NSC35_15_20,35,148.6852149,-34.47470147,2023,60,15,20,0.01,5.7,7.2,0.0259,0.324,,,,,,
2_NSC36_0_5,36,148.6841128,-34.47512242,2023,51,0,5,0.01,5.5,6.8,0.0817,1.176,,,,,,
2_NSC36_10_15,36,148.6841128,-34.47512242,2023,82,10,15,0.01,5.6,7,0.036,0.517,,,,,,
2_NSC37_15_20,37,148.6857524,-34.47436043,2023,63,15,20,0.01,5.7,7,0.0368,0.5,,,,,,
2_NSC38_10_15,38,148.6856568,-34.47447897,2023,56,10,15,0.01,5.6,6.5,0.0327,0.47,,,,,,
2_NSC39_0_5,39,148.6865946,-34.47400617,2023,86,0,5,0.01,4.1,5.1,0.0319,0.452,,,,,,
2_NSC39_15_20,39,148.6865946,-34.47400617,2023,96,15,20,0.01,4,5.1,0.0241,0.36,,,,,,
2_NSC40_0_5,40,148.6871256,-34.47388162,2023,77,0,5,0.01,5.3,6.4,0.0549,1.112,,,,,,
2_NSC40_10_15,40,148.6871256,-34.47388162,2023,41,10,15,0.01,6.2,6.9,0.0599,0.898,,,,,,
2_NSC40_15_20,40,148.6871256,-34.47388162,2023,93,15,20,0.01,4.6,5.5,0.0505,0.573,,,,,,
2_NSC41_0_5,41,148.6877746,-34.47313328,2023,53,0,5,0.03,6,6.8,0.0513,0.641,,,,,,
2_NSC41_15_20,41,148.6877746,-34.47313328,2023,46,15,20,0.01,5.5,6.7,0.0252,0.329,,,,,,
2_NSC43_0_5,43,148.6846028,-34.47458367,2023,84,0,5,0.02,5.9,6.9,0.0923,1.112,,,,,,
2_NSC44_0_5,44,148.6837923,-34.47488338,2023,87,0,5,0.01,5.4,6.7,0.0743,1.186,,,,,,
2_NSC45_10_15,45,148.6845872,-34.47489046,2023,95,10,15,0.02,5.9,6.8,0.0571,0.795,,,,,,
2_NSC45_5_10,45,148.6845872,-34.47489046,2023,42,5,10,0.02,5.7,6.7,0.0645,1.037,,,,,,
2_NSC46_10_15,46,148.6869661,-34.47407318,2023,37,10,15,0.02,5.8,6.9,0.0522,0.653,,,,,,
2_NSC49_0_5,49,148.6847412,-34.47496949,2023,39,0,5,0.02,5.9,6.9,0.1101,1.598,,,,,,
2_NSC50_5_10,50,148.6853223,-34.47516886,2023,79,5,10,0.02,5.9,7,0.0618,0.941,,,,,,
2_NSC51_0_5,51,148.6866646,-34.47423964,2023,44,0,5,0.02,6.1,6.9,0.0515,0.766,,,,,,
2_NSC52_15_20,52,148.6877886,-34.47382738,2023,57,15,20,0.01,6.2,7.4,0.0084,0.162,,,,,,
2_NSC52_5_10,52,148.6877886,-34.47382738,2023,62,5,10,0.02,6.1,7.2,0.051,0.721,,,,,,
2_NSC53_5_10,53,148.6856926,-34.47463176,2023,47,5,10,0.01,6.2,7.3,0.0479,0.666,,,,,,
2_NSC58_10_15,58,148.6842518,-34.47553528,2023,66,10,15,0.01,5.4,6.9,0.0191,0.316,,,,,,
2_NSC59_10_15,59,148.6864941,-34.47442233,2023,90,10,15,0.02,5.8,7.1,0.0354,0.462,,,,,,
2_NSC59_5_10,59,148.6864941,-34.47442233,2023,94,5,10,0.01,5.6,6.8,0.0535,0.768,,,,,,
